n,p,b,c,b/c,pC,pD,pC > pD
16,0.8,9,1,9.0,0.57,0.524,1
16,0.8,10,2,5.0,0.53,0.538,0
16,0.8,12,2,6.0,0.538,0.529,1
16,0.8,14,2,7.0,0.516,0.487,1
16,0.8,16,2,8.0,0.603,0.527,1
16,0.8,18,2,9.0,0.587,0.525,1
16,0.8,15,3,5.0,0.511,0.568,0
16,0.8,18,3,6.0,0.545,0.548,0
16,0.8,21,3,7.0,0.552,0.539,1
16,0.8,24,3,8.0,0.556,0.498,1
16,0.8,27,3,9.0,0.602,0.516,1
18,0.2,5,1,5.0,0.427,0.464,0
18,0.2,6,1,6.0,0.412,0.446,0
18,0.2,7,1,7.0,0.432,0.446,0
18,0.2,8,1,8.0,0.457,0.396,1
18,0.2,9,1,9.0,0.475,0.403,1
18,0.2,10,2,5.0,0.43,0.465,0
18,0.2,12,2,6.0,0.456,0.422,1
18,0.2,14,2,7.0,0.464,0.394,1
18,0.2,16,2,8.0,0.483,0.448,1
18,0.2,18,2,9.0,0.496,0.414,1
18,0.2,15,3,5.0,0.398,0.476,0
18,0.2,18,3,6.0,0.448,0.465,0
18,0.2,21,3,7.0,0.451,0.425,1
18,0.2,24,3,8.0,0.462,0.423,1
18,0.2,27,3,9.0,0.527,0.421,1
18,0.4,5,1,5.0,0.431,0.479,0
18,0.4,6,1,6.0,0.424,0.421,1
18,0.4,7,1,7.0,0.429,0.446,0
18,0.4,8,1,8.0,0.416,0.426,0
18,0.4,9,1,9.0,0.419,0.391,1
18,0.4,10,2,5.0,0.452,0.457,0
18,0.4,12,2,6.0,0.399,0.468,0
18,0.4,14,2,7.0,0.436,0.424,1
18,0.4,16,2,8.0,0.466,0.454,1
18,0.4,18,2,9.0,0.446,0.441,1
18,0.4,15,3,5.0,0.42,0.464,0
18,0.4,18,3,6.0,0.403,0.418,0
18,0.4,21,3,7.0,0.48,0.441,1
18,0.4,24,3,8.0,0.463,0.392,1
18,0.4,27,3,9.0,0.498,0.406,1
18,0.6,5,1,5.0,0.447,0.438,1
18,0.6,6,1,6.0,0.447,0.416,1
18,0.6,7,1,7.0,0.442,0.445,0
18,0.6,8,1,8.0,0.503,0.446,1
18,0.6,9,1,9.0,0.489,0.414,1
18,0.6,10,2,5.0,0.438,0.474,0
18,0.6,12,2,6.0,0.472,0.448,1
18,0.6,14,2,7.0,0.456,0.409,1
18,0.6,16,2,8.0,0.448,0.425,1
18,0.6,18,2,9.0,0.469,0.403,1
18,0.6,15,3,5.0,0.433,0.497,0
18,0.6,18,3,6.0,0.429,0.444,0
18,0.6,21,3,7.0,0.451,0.401,1
18,0.6,24,3,8.0,0.485,0.442,1
18,0.6,27,3,9.0,0.465,0.422,1
18,0.8,5,1,5.0,0.417,0.437,0
18,0.8,6,1,6.0,0.441,0.427,1
18,0.8,7,1,7.0,0.441,0.435,1
18,0.8,8,1,8.0,0.413,0.438,0
18,0.8,9,1,9.0,0.431,0.438,0
18,0.8,10,2,5.0,0.453,0.486,0
18,0.8,12,2,6.0,0.463,0.391,1
18,0.8,14,2,7.0,0.432,0.426,1
18,0.8,16,2,8.0,0.501,0.457,1
18,0.8,18,2,9.0,0.436,0.432,1
18,0.8,15,3,5.0,0.363,0.474,0
18,0.8,18,3,6.0,0.41,0.456,0
18,0.8,21,3,7.0,0.474,0.44,1
18,0.8,24,3,8.0,0.476,0.45,1
18,0.8,27,3,9.0,0.516,0.406,1
20,0.2,5,1,5.0,0.329,0.351,0
20,0.2,6,1,6.0,0.321,0.356,0
20,0.2,7,1,7.0,0.365,0.36,1
20,0.2,8,1,8.0,0.354,0.349,1
20,0.2,9,1,9.0,0.388,0.355,1
20,0.2,10,2,5.0,0.337,0.395,0
20,0.2,12,2,6.0,0.338,0.362,0
20,0.2,14,2,7.0,0.341,0.353,0
20,0.2,16,2,8.0,0.352,0.33,1
20,0.2,18,2,9.0,0.406,0.363,1
20,0.2,15,3,5.0,0.314,0.375,0
20,0.2,18,3,6.0,0.352,0.377,0
20,0.2,21,3,7.0,0.331,0.379,0
20,0.2,24,3,8.0,0.382,0.373,1
20,0.2,27,3,9.0,0.422,0.341,1
20,0.4,5,1,5.0,0.355,0.406,0
20,0.4,6,1,6.0,0.367,0.342,1
20,0.4,7,1,7.0,0.339,0.352,0
20,0.4,8,1,8.0,0.314,0.319,0
20,0.4,9,1,9.0,0.406,0.321,1
20,0.4,10,2,5.0,0.39,0.38,1
20,0.4,12,2,6.0,0.333,0.347,0
20,0.4,14,2,7.0,0.387,0.34,1
20,0.4,16,2,8.0,0.403,0.337,1
20,0.4,18,2,9.0,0.403,0.367,1
20,0.4,15,3,5.0,0.319,0.407,0
20,0.4,18,3,6.0,0.379,0.375,1
20,0.4,21,3,7.0,0.358,0.355,1
20,0.4,24,3,8.0,0.375,0.352,1
20,0.4,27,3,9.0,0.408,0.366,1
20,0.6,5,1,5.0,0.362,0.36,1
20,0.6,6,1,6.0,0.319,0.37,0
20,0.6,7,1,7.0,0.342,0.394,0
20,0.6,8,1,8.0,0.376,0.329,1
20,0.6,9,1,9.0,0.354,0.345,1
20,0.6,10,2,5.0,0.342,0.385,0
20,0.6,12,2,6.0,0.36,0.397,0
20,0.6,14,2,7.0,0.397,0.34,1
20,0.6,16,2,8.0,0.413,0.361,1
20,0.6,18,2,9.0,0.41,0.341,1
20,0.6,15,3,5.0,0.287,0.402,0
20,0.6,18,3,6.0,0.325,0.403,0
20,0.6,21,3,7.0,0.367,0.355,1
20,0.6,24,3,8.0,0.375,0.367,1
20,0.6,27,3,9.0,0.408,0.367,1
20,0.8,5,1,5.0,0.349,0.356,0
20,0.8,6,1,6.0,0.326,0.376,0
20,0.8,7,1,7.0,0.358,0.346,1
20,0.8,8,1,8.0,0.346,0.362,0
20,0.8,9,1,9.0,0.346,0.354,0
20,0.8,10,2,5.0,0.348,0.397,0
20,0.8,12,2,6.0,0.341,0.365,0
20,0.8,14,2,7.0,0.374,0.377,0
20,0.8,16,2,8.0,0.388,0.345,1
20,0.8,18,2,9.0,0.405,0.351,1
20,0.8,15,3,5.0,0.315,0.416,0
20,0.8,18,3,6.0,0.384,0.379,1
20,0.8,21,3,7.0,0.37,0.375,0
20,0.8,24,3,8.0,0.38,0.377,1
20,0.8,27,3,9.0,0.398,0.346,1
